item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
Subscribe	33	0	0.09	0	0.19	0	0.00	2	1.63	1	0.53	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	3	3.22	16	27.35	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	1	0.86	0	0.00	0	0.00	0	0.09	1	0.80	0	-1.25	0	-2.44	0	-0.64	0	0.12	0	-1.28	0	0.06	1	0.54	0	0.19	0	0.06	1	0.69	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	3	1.42	4	3.52	0	0.10
Ness	33	0	0.09	0	0.19	0	0.00	0	0.11	31	54.78	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	2	1.96	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
include	33	0	0.09	0	0.19	0	0.00	0	0.11	1	0.53	0	0.09	1	0.63	0	0.19	0	0.18	0	0.06	4	2.03	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	1	0.54	1	0.66	0	0.05	1	0.50	0	0.06	0	0.12	1	0.86	0	0.00	0	0.00	0	0.09	0	0.08	1	-0.77	3	-0.90	1	0.46	0	0.12	7	1.86	0	0.06	1	0.54	0	0.19	0	0.06	0	0.12	5	0.79	1	0.48	2	0.58	0	0.12	0	0.13	2	0.83	0	0.14	0	0.10
icon	33	0	0.09	0	0.19	0	0.00	0	0.11	1	0.53	0	0.09	0	0.14	0	0.19	0	0.18	4	5.10	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	7	7.39	2	1.22	1	0.85	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	2	2.11	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	2	0.61	6	0.78	0	-0.64	0	0.12	2	0.62	2	2.07	0	0.19	0	0.19	2	2.12	0	0.12	2	-0.83	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Team	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	2	1.45	4	3.09	0	0.18	0	0.06	3	1.34	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	1	0.61	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	15	7.86	0	-2.44	0	-0.64	1	0.67	1	-0.79	0	0.06	0	0.19	1	0.55	0	0.06	0	0.12	4	0.68	0	0.26	1	0.48	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
evil	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	1	0.63	5	4.21	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	1	0.43	0	0.07	1	0.54	1	0.66	0	0.05	4	1.23	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	0	0.12	10	3.61	0	0.06	5	4.16	1	0.55	0	0.06	1	0.69	1	-1.17	0	0.26	2	0.58	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
lost	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	1	0.63	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	1	0.61	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	1	0.50	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	4	0.80	1	-1.65	1	0.46	0	0.12	0	-1.28	0	0.06	1	0.54	0	0.19	0	0.06	1	0.69	4	0.68	17	20.72	1	0.48	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Fiction	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	1	0.63	0	0.19	0	0.18	0	0.06	3	1.34	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	6	7.82	15	14.17	0	0.07	2	1.21	0	0.13	0	0.05	1	0.50	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	0	0.12	1	-0.79	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	4	3.52	0	0.10
agree	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	2	1.25	0	0.06	1	0.43	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	1	0.54	0	0.13	0	0.05	2	0.57	7	10.13	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	1	-1.65	0	-0.64	0	0.12	1	-0.79	7	9.99	1	0.54	0	0.19	7	10.18	0	0.12	1	-1.17	0	0.26	1	0.48	1	0.69	0	0.13	0	0.35	0	0.14	0	0.10
dance	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	1	0.43	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	1	0.54	3	2.56	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	1	-0.77	25	13.59	0	-0.64	0	0.12	1	-0.79	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	1	0.44	0	0.14	0	0.10
men	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	3	3.22	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	4	1.23	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	10	3.70	4	-0.75	4	1.39	0	0.12	0	-1.28	0	0.06	0	0.19	1	0.55	0	0.06	0	0.12	0	-1.82	0	0.26	1	0.48	2	1.57	2	1.47	0	0.35	0	0.14	2	1.70
patches	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	28	33.86	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	1	-1.65	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	4	1.32	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
La	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	1	0.54	0	0.13	0	0.05	6	2.35	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	4	0.80	9	1.44	11	7.11	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	2	-0.83	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
kids	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	1	0.50	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	2	0.61	1	-1.65	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	3	2.64	25	16.38	0	0.26	1	0.48	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Continue	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	10	15.96	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	1	0.67	1	-0.79	10	15.76	0	0.19	0	0.19	10	16.02	1	0.69	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
videos	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	1	0.86	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	18	6.60	0	-0.64	0	0.12	0	-1.28	1	0.91	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	12	12.55	0	-0.68	0	0.12	0	0.13	0	0.35	1	0.62	0	0.10
basketball	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	32	33.07	0	-2.44	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	1	0.48	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Williams	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	15	7.86	18	6.60	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Anniversary	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	13	6.03	5	0.72	0	-0.64	0	0.12	11	4.32	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	2	-0.83	0	0.26	1	0.48	1	0.69	0	0.13	0	0.35	0	0.14	0	0.10
Pocket	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	1	-0.77	0	-2.44	0	-0.64	0	0.12	0	-1.28	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	32	28.09	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
MTV	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	32	24.34	0	-0.64	0	0.12	1	-0.79	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Shigeru	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	0	0.12	24	18.42	0	0.06	0	0.19	1	0.55	0	0.06	0	0.12	8	1.62	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Oracle	33	0	0.09	0	0.19	0	0.00	0	0.11	0	0.20	0	0.09	0	0.14	0	0.19	0	0.18	0	0.06	0	0.39	0	0.07	0	0.08	0	0.01	0	-0.59	0	0.08	0	0.15	0	0.19	0	0.07	0	-0.43	0	0.07	0	0.19	0	0.13	0	0.05	0	-0.74	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.25	0	-2.44	0	-0.64	0	0.12	33	35.29	0	0.06	0	0.19	0	0.19	0	0.06	0	0.12	0	-1.82	0	0.26	0	-0.68	0	0.12	0	0.13	0	0.35	0	0.14	0	0.10
Hudson	32	13	20.12	0	0.18	0	0.00	0	0.10	0	0.20	15	24.25	0	0.13	0	0.18	0	0.17	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	1	0.55	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	3	-0.86	0	-0.62	0	0.12	0	-1.24	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	0	-1.77	0	0.25	0	-0.66	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
Explore	32	1	0.78	0	0.18	0	0.00	0	0.10	1	0.54	1	0.78	0	0.13	0	0.18	0	0.17	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	1	0.62	6	5.47	2	1.97	0	0.42	3	3.23	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	5	5.15	3	3.29	0	0.00	0	0.00	0	0.09	6	7.52	0	-1.21	0	-2.36	0	-0.62	0	0.12	0	-1.24	0	0.06	2	1.23	0	0.18	0	0.06	0	0.11	1	-1.13	0	0.25	0	-0.66	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
added	32	1	0.78	2	1.25	0	0.00	0	0.10	0	0.20	0	0.09	0	0.13	0	0.18	0	0.17	1	0.96	0	0.38	0	0.07	0	0.07	0	0.01	2	0.63	0	0.07	1	0.62	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	4	4.34	0	0.08	2	0.60	4	-0.74	0	-0.62	0	0.12	4	0.80	0	0.06	0	0.19	1	0.56	0	0.06	0	0.11	7	1.32	0	0.25	2	0.59	0	0.11	0	0.13	0	0.34	1	0.63	0	0.10
head	32	2	1.79	0	0.18	0	0.00	0	0.10	2	1.19	3	2.97	0	0.13	2	1.24	2	1.28	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	0	0.05	6	2.41	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	5	1.11	0	-2.36	1	0.46	0	0.12	0	-1.24	0	0.06	0	0.19	0	0.18	0	0.06	2	1.59	5	0.80	0	0.25	1	0.47	0	0.11	0	0.13	1	0.44	0	0.14	0	0.10
full	32	1	0.78	0	0.18	0	0.00	0	0.10	3	2.04	0	0.09	0	0.13	1	0.56	1	0.57	0	0.05	0	0.38	0	0.07	0	0.07	1	1.67	0	-0.57	1	0.85	0	0.14	1	0.55	0	0.07	1	0.43	0	0.07	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	2	0.60	3	-0.86	2	0.61	1	0.68	3	0.63	0	0.06	0	0.19	0	0.18	0	0.06	1	0.70	2	-0.81	0	0.25	4	1.36	0	0.11	0	0.13	4	2.19	0	0.14	0	0.10
position	32	1	0.78	0	0.18	0	0.00	0	0.10	0	0.20	0	0.09	0	0.13	1	0.56	0	0.17	0	0.05	0	0.38	0	0.07	1	0.84	0	0.01	15	12.52	2	1.94	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	1	0.55	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	6	1.50	1	-1.59	1	0.46	1	0.68	0	-1.24	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	1	-1.13	0	0.25	1	0.47	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
featured	32	1	0.78	0	0.18	0	0.00	0	0.10	2	1.19	0	0.09	1	0.64	0	0.18	0	0.17	0	0.05	2	0.81	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	1	0.55	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	9	1.50	0	-0.62	0	0.12	8	2.46	0	0.06	0	0.19	1	0.56	0	0.06	0	0.11	3	0.67	2	1.03	2	0.59	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
Terms	32	0	0.09	3	2.13	0	0.00	0	0.10	1	0.54	0	0.09	2	1.47	0	0.18	1	0.57	0	0.05	1	0.43	1	0.86	1	0.84	0	0.01	0	-0.57	0	0.07	0	0.14	1	0.55	1	0.86	1	0.43	1	0.85	1	0.55	0	0.12	0	0.05	1	0.49	0	0.06	1	0.68	2	1.98	0	0.00	0	0.00	2	1.80	0	0.08	1	-0.74	1	-1.59	0	-0.62	0	0.12	1	-0.76	0	0.06	1	0.55	1	0.56	0	0.06	0	0.11	1	-1.13	1	0.48	1	0.47	1	0.70	1	0.65	0	0.34	1	0.63	0	0.10
television	32	0	0.09	1	0.56	0	0.00	0	0.10	0	0.20	2	1.78	0	0.13	0	0.18	0	0.17	0	0.05	1	0.43	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	1	0.55	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	2	1.85	0	-1.21	10	1.87	0	-0.62	0	0.12	1	-0.76	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	9	2.13	0	0.25	5	1.92	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
gave	32	0	0.09	2	1.25	0	0.00	0	0.10	1	0.54	0	0.09	0	0.13	0	0.18	1	0.57	0	0.05	1	0.43	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	1	0.55	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	1	0.87	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	9	1.50	3	0.95	0	0.12	5	1.09	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	3	0.67	3	1.77	0	-0.66	1	0.70	1	0.65	0	0.34	0	0.14	0	0.10
order	32	0	0.09	1	0.56	0	0.00	0	0.10	0	0.20	0	0.09	0	0.13	0	0.18	1	0.57	0	0.05	1	0.43	0	0.07	0	0.07	0	0.01	3	1.01	2	1.94	1	0.62	2	1.24	0	0.07	3	1.27	0	0.07	0	0.19	0	0.12	0	0.05	1	0.49	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	1	0.81	0	-1.21	0	-2.36	1	0.46	0	0.12	5	1.09	0	0.06	1	0.55	2	1.25	0	0.06	0	0.11	3	0.67	0	0.25	0	-0.66	0	0.11	1	0.65	3	1.45	0	0.14	0	0.10
window	32	0	0.09	0	0.18	0	0.00	1	0.72	1	0.54	0	0.09	0	0.13	0	0.18	0	0.17	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	7	3.70	9	13.16	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	4	5.40	0	-0.72	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	1	-1.59	0	-0.62	0	0.12	0	-1.24	0	0.06	0	0.19	0	0.18	0	0.06	1	0.70	0	-1.77	0	0.25	0	-0.66	0	0.11	0	0.13	0	0.34	0	0.14	8	10.38
Now	32	0	0.09	0	0.18	0	0.00	2	1.65	0	0.20	0	0.09	0	0.13	0	0.18	0	0.17	0	0.05	2	0.81	0	0.07	1	0.84	0	0.01	0	-0.57	1	0.85	0	0.14	0	0.18	0	0.07	2	0.75	0	0.07	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	1	0.87	0	0.00	0	0.00	0	0.09	0	0.08	3	0.64	8	1.20	0	-0.62	1	0.68	1	-0.76	0	0.06	0	0.19	1	0.56	0	0.06	0	0.11	2	-0.81	0	0.25	3	0.90	0	0.11	0	0.13	1	0.44	0	0.14	3	2.89
yet	32	0	0.09	0	0.18	0	0.00	1	0.72	3	2.04	0	0.09	2	1.47	0	0.18	0	0.17	0	0.05	1	0.43	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	2	1.41	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	1	0.67	2	2.30	2	0.57	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	4	0.82	0	-2.36	5	2.02	2	1.56	1	-0.76	0	0.06	0	0.19	1	0.56	0	0.06	0	0.11	3	0.67	0	0.25	1	0.47	0	0.11	0	0.13	1	0.44	0	0.14	0	0.10
live	32	0	0.09	0	0.18	0	0.00	1	0.72	0	0.20	0	0.09	0	0.13	0	0.18	0	0.17	0	0.05	0	0.38	0	0.07	1	0.84	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	0	0.05	1	0.49	0	0.06	0	0.12	1	0.87	0	0.00	0	0.00	0	0.09	0	0.08	3	0.64	7	0.96	0	-0.62	0	0.12	11	4.46	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	3	0.67	1	0.48	2	0.59	1	0.70	0	0.13	0	0.34	0	0.14	0	0.10
Last	32	0	0.09	0	0.18	0	0.00	0	0.10	1	0.54	0	0.09	1	0.64	0	0.18	0	0.17	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	0	-0.57	1	0.85	0	0.14	0	0.18	0	0.07	2	0.75	0	0.07	0	0.19	0	0.12	0	0.05	0	-0.72	0	0.06	0	0.12	1	0.87	0	0.00	0	0.00	1	0.78	0	0.08	1	-0.74	5	0.72	0	-0.62	0	0.12	0	-1.24	0	0.06	0	0.19	1	0.56	0	0.06	0	0.11	4	0.68	6	4.71	0	-0.66	1	0.70	0	0.13	3	1.45	4	3.57	0	0.10
school	32	0	0.09	0	0.18	0	0.00	0	0.10	1	0.54	0	0.09	0	0.13	0	0.18	0	0.17	0	0.05	1	0.43	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	1	0.67	0	0.05	4	1.26	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	1	0.81	3	0.64	1	-1.59	0	-0.62	0	0.12	0	-1.24	0	0.06	0	0.19	0	0.18	0	0.06	12	16.82	7	1.32	0	0.25	0	-0.66	0	0.11	1	0.65	0	0.34	0	0.14	0	0.10
produced	32	0	0.09	0	0.18	0	0.00	0	0.10	1	0.54	0	0.09	0	0.13	0	0.18	3	2.17	0	0.05	0	0.38	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	0	0.19	0	0.12	0	0.05	1	0.49	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	1	0.78	0	0.08	0	-1.21	5	0.72	1	0.46	0	0.12	3	0.63	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	9	2.13	4	2.64	3	0.90	0	0.11	0	0.13	1	0.44	0	0.14	0	0.10
elements	32	0	0.09	0	0.18	0	0.00	0	0.10	0	0.20	2	1.78	0	0.13	0	0.18	0	0.17	0	0.05	3	1.37	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	1	0.62	0	0.18	0	0.07	1	0.43	0	0.07	2	1.23	1	0.67	0	0.05	1	0.49	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	0	-2.36	0	-0.62	0	0.12	10	3.73	0	0.06	0	0.19	3	2.14	0	0.06	0	0.11	4	0.68	0	0.25	2	0.59	0	0.11	1	0.65	0	0.34	1	0.63	0	0.10
sidebar	32	0	0.09	0	0.18	0	0.00	0	0.10	0	0.20	0	0.09	0	0.13	1	0.56	4	3.21	0	0.05	4	2.07	0	0.07	0	0.07	0	0.01	0	-0.57	0	0.07	0	0.14	0	0.18	0	0.07	0	0.42	0	0.07	4	3.12	0	0.12	0	0.05	3	0.85	0	0.06	0	0.12	0	0.07	0	0.00	0	0.00	0	0.09	0	0.08	0	-1.21	4	-0.74	0	-0.62	0	0.12	4	0.80	0	0.06	0	0.19	0	0.18	0	0.06	0	0.11	4	0.68	0	0.25	4	1.36	0	0.11	0	0.13	0	0.34	0	0.14	0	0.10
